,region,edad_ingreso,egreso_em,prom_lem,tipo_estudio,tipo_colegio,genero,año_ingreso,codigo_carrera,tipo_renuncia,año,semestre,nombre_carrera
0,VIII - BIO-BIO,20,2021,6.4,Cientifico Humanista,Municipal,Femenino,2022,1446114,No desertor,2023,1,Ingenieria en Informatica
1,VIII - BIO-BIO,20,2021,6.4,Cientifico Humanista,Municipal,Femenino,2022,1446114,No desertor,2023,2,Ingenieria en Informatica
2,VIII - BIO-BIO,24,2010,5.5,Cientifico Humanista,Municipal,Femenino,2015,1446102,No desertor,2021,1,Ingenieria en Informatica
3,VIII - BIO-BIO,20,2019,5.1,Cientifico Humanista,Municipal,Femenino,2021,1446114,No desertor,2021,1,Ingenieria en Informatica
4,VIII - BIO-BIO,20,2019,5.1,Cientifico Humanista,Municipal,Femenino,2021,1446114,No desertor,2021,2,Ingenieria en Informatica
5,VIII - BIO-BIO,20,2019,5.1,Cientifico Humanista,Municipal,Femenino,2021,1446114,No desertor,2022,1,Ingenieria en Informatica
6,VIII - BIO-BIO,20,2019,5.1,Cientifico Humanista,Municipal,Femenino,2021,1446114,No desertor,2022,2,Ingenieria en Informatica
7,VIII - BIO-BIO,20,2019,5.1,Cientifico Humanista,Municipal,Femenino,2021,1446114,No desertor,2023,1,Ingenieria en Informatica
8,VIII - BIO-BIO,20,2019,5.2,Cientifico Humanista,Municipal,Femenino,2022,1446114,Desertor,2022,1,Ingenieria en Informatica
9,VIII - BIO-BIO,20,2019,5.2,Cientifico Humanista,Municipal,Femenino,2022,1446114,Desertor,2022,2,Ingenieria en Informatica
10,VIII - BIO-BIO,20,2019,5.2,Cientifico Humanista,Municipal,Femenino,2022,1446114,Desertor,2023,1,Ingenieria en Informatica
11,VIII - BIO-BIO,20,2019,5.2,Cientifico Humanista,Municipal,Femenino,2022,1446114,Desertor,2023,2,Ingenieria en Informatica
12,VIII - BIO-BIO,19,2022,5.8,Cientifico Humanista,Municipal,Femenino,2023,1446114,No desertor,2023,1,Ingenieria en Informatica
13,VIII - BIO-BIO,19,2022,5.8,Cientifico Humanista,Municipal,Femenino,2023,1446114,No desertor,2023,2,Ingenieria en Informatica
14,VIII - BIO-BIO,21,2020,5.6,Cientifico Humanista,Municipal,Femenino,2022,1446114,No desertor,2023,1,Ingenieria en Informatica
15,VIII - BIO-BIO,21,2020,5.6,Cientifico Humanista,Municipal,Femenino,2022,1446114,No desertor,2023,2,Ingenieria en Informatica
16,VIII - BIO-BIO,21,2017,6.2,Cientifico Humanista,Municipal,Femenino,2019,1446103,No desertor,2021,1,Ingenieria en Informatica
