id;score clasificación;clase real
1;1.0;NO
2;0.0;NO
3;0.0;NO
4;0.0;NO
5;0.0;NO
6;0.0;NO
7;0.0;NO
8;0.0;NO
9;0.0;NO
10;0.0;NO
11;0.0;NO
12;0.0;NO
13;0.0;NO
14;0.0;NO
15;0.0;NO
16;0.0;NO
17;0.0;NO
18;0.0;NO
19;0.0;NO
20;0.0;NO
21;0.0;NO
22;0.0;NO
23;0.0;NO
24;0.0;NO
25;0.0;NO
26;0.0;NO
27;0.0;NO
28;0.0;NO
29;0.0;NO
30;0.0;NO
31;0.0;NO
32;0.0;NO
33;0.0;NO
34;0.0;NO
35;0.0;NO
36;0.0;NO
37;0.0;NO
38;0.0;NO
39;0.0;NO
40;0.0;NO
41;0.0;SI
42;0.0;NO
43;0.0;NO
44;0.0;NO
45;0.0;NO
46;0.0;NO
47;0.0;NO
48;0.0;NO
49;0.0;NO
50;0.0;NO
51;0.0;NO
52;0.0;NO
53;0.0;NO
54;0.0;NO
55;0.0;NO
56;0.0;NO
57;0.0;NO
58;0.0;NO
59;0.0;NO
60;0.0;NO
61;0.0;NO
62;0.0;NO
63;0.0;NO
64;0.0;NO
65;0.0;NO
66;0.0;NO
67;0.0;NO
68;0.0;NO
69;0.0;NO
70;0.0;NO
71;0.0;NO
72;0.0;NO
73;0.0;NO
74;0.0;NO
75;0.0;NO
76;0.0;NO
77;0.0;NO
78;0.0;NO
79;0.0;NO
80;0.0;NO
81;0.0;NO
82;0.0;NO
83;0.0;NO
84;0.0;NO
85;1.0;SI
86;0.0;NO
87;0.0;NO
88;0.0;NO
89;0.0;NO
90;0.0;NO
91;0.0;NO
92;0.0;NO
93;1.0;SI
94;0.0;NO
95;0.0;NO
96;0.0;NO
97;0.0;NO
98;0.0;NO
99;0.0;NO
100;0.0;NO
101;0.0;NO
102;0.0;NO
103;0.0;NO
104;0.0;NO
105;0.0;NO
106;0.0;NO
107;0.0;NO
108;0.0;NO
109;0.0;NO
110;0.0;NO
111;0.0;NO
112;0.0;NO
113;0.0;NO
114;0.0;NO
115;0.0;NO
116;0.0;NO
117;0.0;NO
118;0.0;NO
119;0.0;NO
120;0.0;NO
121;0.0;NO
122;0.0;NO
123;0.0;NO
124;0.0;SI
125;0.0;NO
126;0.0;NO
127;0.0;NO
128;0.0;NO
129;0.0;NO
130;0.0;NO
131;0.0;NO
132;0.0;NO
133;0.0;NO
134;0.0;NO
135;0.0;NO
136;0.0;NO
137;0.0;NO
138;0.0;NO
139;0.0;NO
140;0.0;NO
141;0.0;NO
142;0.0;NO
143;0.0;NO
144;0.0;NO
145;0.0;NO
146;0.0;NO
147;0.0;NO
148;0.0;NO
149;0.0;NO
150;0.0;NO
151;0.0;NO
152;0.0;NO
153;0.0;NO
154;0.0;NO
155;0.0;NO
156;0.0;NO
157;0.0;NO
158;0.0;NO
159;0.0;NO
160;0.0;NO
161;0.0;NO
162;0.0;NO
163;0.0;NO
164;0.0;NO
165;0.0;NO
166;1.0;SI
167;0.0;NO
168;0.0;NO
169;0.0;NO
170;0.0;NO
171;0.0;NO
172;1.0;NO
173;0.0;NO
174;0.0;NO
175;0.0;NO
176;0.0;NO
177;0.0;NO
178;0.0;NO
179;0.0;NO
180;0.0;NO
181;0.0;NO
182;0.0;NO
183;0.0;NO
184;0.0;NO
185;0.0;NO
186;0.0;NO
187;0.0;NO
188;0.0;NO
189;0.0;NO
190;0.0;NO
191;0.0;NO
192;0.0;NO
193;0.0;NO
194;0.0;SI
195;0.0;NO
196;0.0;NO
197;0.0;NO
198;0.0;NO
199;0.0;NO
200;0.0;NO
201;0.0;NO
202;0.0;NO
203;0.0;NO
204;0.0;NO
205;0.0;NO
206;0.0;NO
207;0.0;NO
208;0.0;NO
209;0.0;NO
210;0.0;NO
211;0.0;NO
212;0.0;NO
213;0.0;NO
214;0.0;NO
215;0.0;NO
216;0.0;NO
217;0.0;NO
218;0.0;NO
219;0.0;NO
220;0.0;NO
221;0.0;NO
222;0.0;NO
223;0.0;NO
224;0.0;NO
225;0.0;NO
226;0.0;SI
227;0.0;NO
228;0.0;NO
229;0.0;NO
230;0.0;NO
231;0.0;NO
232;0.0;NO
233;0.0;NO
234;1.0;NO
235;0.0;NO
236;0.0;NO
237;0.0;NO
238;0.0;NO
239;0.0;NO
240;0.0;NO
241;0.0;NO
242;0.0;NO
243;0.0;NO
244;0.0;NO
245;0.0;NO
246;0.0;NO
247;0.0;NO
248;0.0;NO
249;0.0;NO
250;0.0;NO
251;0.0;NO
252;0.0;NO
253;0.0;NO
254;0.0;NO
255;0.0;NO
256;0.0;NO
257;0.0;NO
258;0.0;NO
259;0.0;NO
260;0.0;NO
261;0.0;NO
262;0.0;NO
263;0.0;NO
264;0.0;NO
265;0.0;NO
266;0.0;NO
267;0.0;NO
268;0.0;NO
269;0.0;NO
270;0.0;NO
271;0.0;NO
272;0.0;NO
273;0.0;NO
274;0.0;NO
275;0.0;NO
276;0.0;NO
277;0.0;NO
278;0.0;NO
279;0.0;NO
280;0.0;NO
281;0.0;NO
282;0.0;NO
283;0.0;NO
284;0.0;NO
285;0.0;NO
286;0.0;NO
287;0.0;NO
288;0.0;NO
289;0.0;NO
290;0.0;NO
291;0.0;NO
292;0.0;NO
293;0.0;NO
294;0.0;NO
295;0.0;NO
296;0.0;NO
297;0.0;NO
298;0.0;NO
299;0.0;NO
300;0.0;NO
301;0.0;NO
302;0.0;NO
303;0.0;NO
304;0.0;NO
305;0.0;NO
306;0.0;NO
307;0.0;NO
308;0.0;NO
309;0.0;NO
310;0.0;NO
311;0.0;NO
312;1.0;SI
313;0.0;NO
314;0.0;NO
315;0.0;NO
316;1.0;SI
317;0.0;NO
318;0.0;NO
319;0.0;NO
320;0.0;NO
321;0.0;NO
322;0.0;NO
323;0.0;NO
324;0.0;NO
325;0.0;NO
326;0.0;NO
327;0.0;NO
328;0.0;NO
329;0.0;NO
330;0.0;NO
331;0.0;NO
332;0.0;NO
333;0.0;NO
334;0.0;NO
335;0.0;NO
336;0.0;NO
337;0.0;NO
338;0.0;NO
339;0.0;NO
340;0.0;NO
341;0.0;NO
342;1.0;NO
343;0.0;NO
344;0.0;NO
345;0.0;NO
346;0.0;NO
347;0.0;NO
348;0.0;NO
349;0.0;NO
350;0.0;NO
351;0.0;NO
352;0.0;NO
353;0.0;NO
354;0.0;NO
355;0.0;NO
356;0.0;NO
357;0.0;NO
358;0.0;NO
359;0.0;NO
360;0.0;NO
361;0.0;NO
362;0.0;NO
363;0.0;NO
364;0.0;NO
365;0.0;NO
366;0.0;NO
367;0.0;NO
368;0.0;NO
369;0.0;SI
370;0.0;NO
371;0.0;NO
372;0.0;NO
373;0.0;NO
374;0.0;NO
375;0.0;NO
376;0.0;NO
377;0.0;NO
378;0.0;NO
379;0.0;NO
380;0.0;NO
381;0.0;NO
382;0.0;NO
383;0.0;NO
384;0.0;NO
385;0.0;NO
386;0.0;NO
387;0.0;NO
388;0.0;NO
389;0.0;NO
390;0.0;NO
391;1.0;SI
392;0.0;NO
393;0.0;NO
394;0.0;NO
395;0.0;NO
396;0.0;NO
397;0.0;NO
398;0.0;NO
399;0.0;NO
400;0.0;NO
401;0.0;NO
402;0.0;NO
403;0.0;NO
404;0.0;NO
405;0.0;NO
406;0.0;NO
407;0.0;NO
408;0.0;NO
409;0.0;NO
410;0.0;NO
411;0.0;NO
412;0.0;NO
413;0.0;NO
414;0.0;NO
415;0.0;NO
416;0.0;NO
417;0.0;NO
418;0.0;NO
419;0.0;NO
420;0.0;NO
421;0.0;NO
422;0.0;NO
423;0.0;NO
424;0.0;NO
425;0.0;NO
426;0.0;NO
427;0.0;NO
428;0.0;NO
429;0.0;NO
430;0.0;NO
431;0.0;NO
432;0.0;NO
433;0.0;NO
434;0.0;NO
435;0.0;NO
436;0.0;NO
437;0.0;NO
438;0.0;NO
439;0.0;NO
440;0.0;NO
441;0.0;NO
442;0.0;NO
443;0.0;NO
444;0.0;NO
445;0.0;NO
446;0.0;NO
447;0.0;NO
448;0.0;NO
449;1.0;NO
450;0.0;NO
451;0.0;NO
452;0.0;NO
453;0.0;NO
454;0.0;NO
455;0.0;NO
456;0.0;NO
457;0.0;NO
458;0.0;NO
459;0.0;NO
460;0.0;NO
461;0.0;NO
462;0.0;NO
463;0.0;NO
464;0.0;NO
465;0.0;NO
466;0.0;NO
467;0.0;NO
468;0.0;NO
469;0.0;NO
470;0.0;NO
471;0.0;NO
472;0.0;NO
473;0.0;NO
474;0.0;NO
475;0.0;NO
476;0.0;NO
477;0.0;NO
478;0.0;NO
479;0.0;NO
480;1.0;SI
481;1.0;SI
482;0.0;NO
483;0.0;NO
484;0.0;NO
485;0.0;NO
486;0.0;NO
487;0.0;NO
488;0.0;NO
489;0.0;NO
490;0.0;NO
491;0.0;NO
492;0.0;NO
493;0.0;NO
494;0.0;NO
495;0.0;NO
496;0.0;NO
497;0.0;NO
498;0.0;NO
499;0.0;NO
500;0.0;NO
501;0.0;NO
502;1.0;NO
503;0.0;NO
504;0.0;NO
505;1.0;NO
506;0.0;NO
507;0.0;NO
508;1.0;SI
509;0.0;NO
510;0.0;NO
511;0.0;NO
512;0.0;NO
513;0.0;NO
514;0.0;NO
515;0.0;NO
516;0.0;NO
517;0.0;NO
518;0.0;NO
519;0.0;NO
520;0.0;NO
521;0.0;NO
522;0.0;NO
523;0.0;NO
524;0.0;NO
525;0.0;NO
526;0.0;NO
527;0.0;NO
528;0.0;NO
529;1.0;SI
530;0.0;NO
531;0.0;NO
532;0.0;NO
533;0.0;NO
534;0.0;NO
535;0.0;NO
536;0.0;NO
537;0.0;NO
538;0.0;NO
539;0.0;NO
540;0.0;NO
541;0.0;NO
542;0.0;NO
543;0.0;NO
544;0.0;NO
545;0.0;NO
546;0.0;NO
547;0.0;NO
548;0.0;NO
549;0.0;NO
550;1.0;SI
551;0.0;NO
552;0.0;NO
553;0.0;NO
554;0.0;NO
555;0.0;NO
556;0.0;NO
557;0.0;NO
558;0.0;NO
559;0.0;NO
560;0.0;NO
561;0.0;NO
562;0.0;NO
563;0.0;NO
564;0.0;NO
565;0.0;NO
566;0.0;NO
567;0.0;NO
568;0.0;SI
569;0.0;NO
570;1.0;NO
571;0.0;SI
572;0.0;NO
573;0.0;SI
574;0.0;NO
575;0.0;NO
576;0.0;NO
577;0.0;NO
578;0.0;NO
579;0.0;NO
580;0.0;NO
581;0.0;NO
582;0.0;NO
583;0.0;NO
584;0.0;NO
585;0.0;NO
586;0.0;NO
587;0.0;NO
588;0.0;NO
589;0.0;NO
590;0.0;NO
591;0.0;NO
592;0.0;NO
593;0.0;NO
594;0.0;NO
595;0.0;NO
596;0.0;NO
597;0.0;NO
598;0.0;NO
599;0.0;NO
600;0.0;NO
601;0.0;NO
602;0.0;NO
603;0.0;NO
604;0.0;NO
605;0.0;NO
606;0.0;NO
607;0.0;NO
608;0.0;NO
609;0.0;NO
610;0.0;NO
611;0.0;NO
612;0.0;NO
613;0.0;NO
614;0.0;NO
615;0.0;NO
616;0.0;NO
617;0.0;NO
618;0.0;NO
619;0.0;NO
620;0.0;NO
621;0.0;NO
622;0.0;NO
623;0.0;NO
624;0.0;NO
625;0.0;NO
626;0.0;NO
627;0.0;NO
628;0.0;NO
629;0.0;NO
630;0.0;NO
631;0.0;NO
632;0.0;NO
633;0.0;NO
634;0.0;NO
635;0.0;NO
636;0.0;NO
637;0.0;NO
638;0.0;NO
639;0.0;NO
640;0.0;NO
641;0.0;NO
642;0.0;NO
643;0.0;NO
644;0.0;NO
645;0.0;NO
646;0.0;NO
647;0.0;NO
648;0.0;NO
649;0.0;NO
650;0.0;NO
651;0.0;NO
652;0.0;NO
653;0.0;NO
654;0.0;NO
655;0.0;NO
656;0.0;NO
657;0.0;NO
658;0.0;NO
659;0.0;NO
660;0.0;NO
661;0.0;NO
662;0.0;NO
663;0.0;NO
664;0.0;NO
665;0.0;NO
666;0.0;NO
667;0.0;NO
668;0.0;NO
669;0.0;NO
670;0.0;NO
671;0.0;NO
672;0.0;NO
673;0.0;NO
674;0.0;NO
675;0.0;NO
676;0.0;NO
677;1.0;SI
678;0.0;NO
679;0.0;NO
680;0.0;NO
681;0.0;NO
682;0.0;NO
683;0.0;NO
684;0.0;NO
685;0.0;NO
686;0.0;NO
687;0.0;NO
688;0.0;NO
689;0.0;NO
690;0.0;NO
691;0.0;NO
692;0.0;NO
693;0.0;NO
694;0.0;NO
695;0.0;NO
696;0.0;NO
697;0.0;NO
698;0.0;NO
699;0.0;NO
700;0.0;NO
701;0.0;NO
702;0.0;NO
703;0.0;NO
704;0.0;NO
705;0.0;NO
706;0.0;NO
707;0.0;NO
708;0.0;NO
709;0.0;NO
710;0.0;NO
711;0.0;NO
712;0.0;NO
713;0.0;NO
714;0.0;NO
715;0.0;NO
716;0.0;NO
717;0.0;NO
718;0.0;NO
719;0.0;NO
720;0.0;NO
721;1.0;SI
722;0.0;NO
723;0.0;NO
724;0.0;NO
725;0.0;NO
726;0.0;NO
727;0.0;NO
728;0.0;NO
729;0.0;NO
730;1.0;NO
731;0.0;NO
732;0.0;NO
733;0.0;NO
734;1.0;NO
735;1.0;SI
736;0.0;NO
737;0.0;NO
738;0.0;NO
739;0.0;NO
740;0.0;NO
741;0.0;NO
742;0.0;NO
743;0.0;NO
744;0.0;NO
745;0.0;NO
746;0.0;NO
747;0.0;NO
748;0.0;NO
749;0.0;NO
750;0.0;NO
751;0.0;NO
752;0.0;NO
753;0.0;NO
754;0.0;NO
755;0.0;NO
756;0.0;NO
757;0.0;NO
758;0.0;NO
759;0.0;NO
760;0.0;NO
761;0.0;NO
762;0.0;NO
763;0.0;NO
764;0.0;NO
765;0.0;NO
766;0.0;NO
767;0.0;NO
768;0.0;NO
769;0.0;NO
770;0.0;NO
771;0.0;NO
772;0.0;NO
773;0.0;NO
774;0.0;NO
775;0.0;NO
776;0.0;NO
777;0.0;NO
778;0.0;NO
779;0.0;NO
780;0.0;NO
781;0.0;NO
782;0.0;NO
783;0.0;NO
784;0.0;NO
785;0.0;NO
786;0.0;NO
787;0.0;NO
788;0.0;NO
789;0.0;NO
790;0.0;NO
791;0.0;NO
792;0.0;NO
793;0.0;NO
794;0.0;NO
795;0.0;NO
796;0.0;NO
797;0.0;NO
798;0.0;NO
799;1.0;SI
800;0.0;NO
801;0.0;NO
802;0.0;NO
803;0.0;NO
804;0.0;NO
805;0.0;NO
806;0.0;NO
807;0.0;NO
808;0.0;NO
809;0.0;NO
810;0.0;NO
811;0.0;NO
812;0.0;NO
813;0.0;NO
814;0.0;NO
815;0.0;NO
816;0.0;NO
817;0.0;NO
818;1.0;SI
819;0.0;NO
820;0.0;NO
821;0.0;NO
822;0.0;NO
823;0.0;NO
824;0.0;NO
825;0.0;NO
826;0.0;NO
827;0.0;NO
828;0.0;NO
829;0.0;NO
830;0.0;NO
831;0.0;NO
832;1.0;NO
833;0.0;NO
834;0.0;NO
835;0.0;NO
836;0.0;SI
837;0.0;NO
838;0.0;NO
839;0.0;NO
840;0.0;NO
841;0.0;NO
842;0.0;NO
843;0.0;NO
844;0.0;NO
845;0.0;NO
846;0.0;NO
847;0.0;NO
848;0.0;NO
849;0.0;NO
850;0.0;NO
851;0.0;NO
852;0.0;NO
853;0.0;NO
854;0.0;NO
855;0.0;NO
856;0.0;NO
857;0.0;NO
858;0.0;NO
859;0.0;NO
860;0.0;NO
861;0.0;NO
862;0.0;NO
863;0.0;NO
864;0.0;NO
865;0.0;NO
866;0.0;NO
867;0.0;NO
868;0.0;NO
869;0.0;NO
870;0.0;NO
871;0.0;NO
872;0.0;NO
873;0.0;NO
874;0.0;NO
875;0.0;NO
876;0.0;NO
877;0.0;NO
878;0.0;NO
879;0.0;NO
880;0.0;NO
881;0.0;NO
882;0.0;NO
883;0.0;NO
884;0.0;NO
885;0.0;NO
886;0.0;NO
887;0.0;NO
888;0.0;NO
889;0.0;NO
890;0.0;NO
891;0.0;NO
892;0.0;NO
893;0.0;NO
894;0.0;NO
895;0.0;NO
896;0.0;NO
897;0.0;NO
898;0.0;NO
899;0.0;NO
900;0.0;NO
901;0.0;NO
902;0.0;NO
903;0.0;NO
904;0.0;NO
905;0.0;NO
906;0.0;NO
907;0.0;NO
908;0.0;NO
909;0.0;NO
910;0.0;NO
911;0.0;NO
912;0.0;NO
913;0.0;NO
914;0.0;NO
915;0.0;NO
916;0.0;NO
917;0.0;NO
918;0.0;NO
919;0.0;NO
920;0.0;NO
921;0.0;NO
922;0.0;NO
923;0.0;NO
924;0.0;NO
925;0.0;NO
926;0.0;NO
927;0.0;NO
928;0.0;NO
929;0.0;NO
930;0.0;NO
931;0.0;NO
932;0.0;NO
933;0.0;NO
934;0.0;NO
935;0.0;NO
936;0.0;NO
937;0.0;NO
938;0.0;NO
939;0.0;NO
940;0.0;NO
941;0.0;NO
942;0.0;NO
943;0.0;NO
944;0.0;NO
945;0.0;NO
946;0.0;NO
947;0.0;SI
948;0.0;SI
949;0.0;NO
950;0.0;NO
951;0.0;NO
952;0.0;NO
953;0.0;NO
954;0.0;NO
955;0.0;NO
956;0.0;NO
957;0.0;NO
958;0.0;NO
959;0.0;NO
960;0.0;NO
961;0.0;NO
962;0.0;NO
963;0.0;NO
964;0.0;NO
965;0.0;NO
966;0.0;NO
967;0.0;NO
968;0.0;NO
969;1.0;SI
970;0.0;NO
971;0.0;NO
972;0.0;NO
973;0.0;NO
974;0.0;NO
975;1.0;SI
976;0.0;NO
977;0.0;NO
978;0.0;NO
979;0.0;NO
980;0.0;NO
981;0.0;NO
982;0.0;NO
983;0.0;NO
984;0.0;NO
985;0.0;NO
986;0.0;NO
987;0.0;NO
988;0.0;NO
989;0.0;NO
990;0.0;NO
991;1.0;SI
992;0.0;NO
993;0.0;NO
994;0.0;NO
995;0.0;NO
996;0.0;NO
997;0.0;NO
998;0.0;NO
999;0.0;NO
1000;0.0;NO
1001;0.0;NO
1002;1.0;SI
1003;0.0;NO
1004;0.0;NO
1005;0.0;NO
1006;0.0;NO
1007;0.0;NO
1008;0.0;NO
1009;0.0;NO
1010;0.0;NO
1011;0.0;NO
1012;0.0;NO
1013;0.0;NO
1014;0.0;NO
1015;0.0;NO
1016;0.0;NO
1017;0.0;NO
1018;0.0;NO
1019;0.0;NO
1020;0.0;NO
1021;0.0;NO
1022;0.0;NO
1023;0.0;NO
1024;0.0;NO
1025;0.0;NO
1026;0.0;NO
1027;0.0;NO
1028;0.0;NO
1029;0.0;NO
1030;0.0;NO
1031;0.0;NO
1032;0.0;NO
1033;0.0;NO
1034;0.0;NO
1035;0.0;NO
1036;0.0;NO
1037;1.0;SI
1038;0.0;NO
1039;0.0;NO
1040;0.0;NO
1041;0.0;NO
1042;0.0;NO
1043;0.0;NO
1044;0.0;NO
1045;0.0;NO
